EMAIL,COMPANY_NAME
balqis.b.m1@gmail.com,BALQIS TRADING
info@rezamurtaza.com,REZA & MURTAZA TRADING
hawqtech.dubai@gmail.com,HAWQ SUPPLIES
info@lightstar.ae,LIGHTSTAR TRADING 
pioneerdubai@eim.ae,PIONERS ELECT
hussain@moderntechnology.ae,MODERN TECHNOLOGY 
info@ezzyraj.com,EZZY RAJ TRADIERS
bbmtcl@aol.com,BAHRAINWALA TRADING
safatcotrading@gmail.com,SAFATCO TRADING
narayan@nbwenterprises.com,NBW TRADING
miqaat933@hotmail.com,MIQAT TRADING
megatool@eim.ae,MEGA TOOLS 
alrahat@eim.ae,AL RAHAT TRADING
yamin@yamintrading.com,YAMIN TRADING 
shabitco@eim.ae,SHABBIR TRADING 
saifeenjm@gmail.com,MOHD AL KITWI
aatigujjar@yahoo.com,AZMAT NAZIR TOOLS
sorathiatalha@gmail.com,TALHA TRADING
bte52@eim.ae,BURHANI TRADING 
info@marvelbmt.com,MARVEL BMT
sales5@tulipsafety.com,TULIP TRADING
baqeri5566@gmail.com,BAAQERI BMT
hatimz@abbasihardware.ae,AL ABBASI FASTENERS
rgtforce@gmail.com,RED GATE TRADING
sales@alhamriya.com,AL HAMRIYA BMT
sales@faebertools.com,FAEBER 
alsabahsafety@gmail.com,AL SABAH SAFETY 
info@hadeedubai.ae,HADEED HARDWARE
hhtt@eim.ae,HH TT
artlinetradingllc@gmail.com,ARTLINE TRADING 
bhte_752@yahoo.com,BIN HAMMAD TRADING
toolsabd@eim.ae,TOOLS TRADING
raj93@eim.ae,RCB BMT
saifeeraj5253@gmail.com,SAIFEE RAJ
yousufalmahairibmt@gmail.com,YUSUF AL MEHAIRI BMT
saifhuraiz@yahoo.com,SAIF HURAIZ BMT
fansheng08@hotmail.com,VINCENT TRADING
fon1122@yahoo.com,UNIKA TRADING LLC
fairooza@eim.ae,FAIROOZA TRADING LLC
superson@supersonicme.com,SUPER SONIC TRADING
zaib@amzoneinternational.com,AMAZONE INT
procurement@shamcotrading.com,SHAMCO
manbaaalanwar@ymail.com,MANBAA AL ANWAR TRADING
manbaaalanwar@gmail.com,MANBAA AL ANWAR TRADING
salim@safetechhardware.ae,SAIFTECH HARDWARE
zhm@technomechdxb.com,TECHNOMECH
amrit@romaent.com,ROMA ENT
aamadina@eim.ae,ANWAR AL MADINA
gibmtrdg@gmail.com,GOLDEN ISLAND BMT
iktrading52@gmail.com,ABDUL KADER HAKIMUUDIN TRADING
namigt@eim.ae,NAMI GEN TRADING LLC
maftool@hotmail.com,JINGTAI TRADING
aaasafedubai@gmail.com,ABID & ALI ASGER 
alrabwatrading@gmail.com,AL RABWA TRADING
citybeach_bm@hotmail.com,CITY BEACH BMT
mht52@eim.ae,MARHABA TRADING
niletrdg@eim.ae,NILE BMT
abbas@yamamotogcc.com,YAMAMOTO GEN TRD
181610541@qq.com,MARED BMT
nmbhtllc@gmail.com,AL NOOR AL MUNIR
dorabmt@yahoo.com,ALDORA BMT
eminextrading@gmail.com,EMINEX ELECTRICAL 
shahjalal.parvez@yahoo.com,OMAR AL MAS BMT
nbmllcdubai@gmail.com,NAQIYA BMT
abdealivilayti88@gmail.com,AL NOOR TRADING EST
perfect.elt@gmail.com,PERFECT ELEC TRADING
info@murjangroup.com,AL MARJAN STAR GEN TRADING
murtuzamm@hotmail.com,FEMCO TRADING
ysfvalisaheb@gmail.com,NOOR AL MUFADDAL TRADING
satarka1.bifpro@gmail.com,SATHARKA BMT
ali@alazharelectrical.com,AL AZHAR ELECT 
vkbintl@gmail.com,VKB INTRL BMT
qusaitr@eim.ae,QUSAI TRADING EST
infoperkatrading@gmail.com,PERKA BMT
dibmt786@yahoo.com,DREAM ISLAND BMT
aliahmed@clmet.com,CLASSIC BMT
najmalasasi@gmail.com,NAJAM AL ASSASI TRADING
megazonedubai@gmail.com,MEGAZONE HARDWARE
sales@almadina.me,AL MADINA BMT
chevalkitbi@gmail.com,CHEVAL KITBI
sonasatrd@gmail.com,SONASA TRADING
iconictools@gmail.com,ICONIC TOOLS TRADING
ltcllc@eim.ae,LAKDAWALA TRADING
altawakkaltrd@gmail.com,AL TAWAKKAL TRADING
shibambmtllc@gmail.com,SHIBAM BMT
adnani06@eim.ae,AN TRADING CO LLC
saifuddin@henwoodgroup.com,HENWOOD GEN TRADING
bythatim@gmail.com,BYT HATIM ALI TRADING
qutubgoher@gmail.com,ROYAL TOOLS TRADING 
rasani@shop4tools.net,RASANI TRADING 
starwasl@eim.ae,AL WASL OASIS 
nimit@staralloys.ae,STAR ALLOWYS GEN TRADING
najmisales@gmail.com,NAJMI TRADING
sales@pusantrading.com,PUSAN TRADING
s.burhani@sams.solutions.com,SAMS SOLUTIONS
info@whiteappleuae.com,WHITE APPLE BMT
sitcotrd@gmail.com,SALEH ISHAQ TRADING
hhusaini@eim.ae,H HUSAINI HARDWARE
husain@swbm-fittings.com,SUNELWALA BMT
mustafa.kher@gmail.com,NAJMAT AL ZAHRA
alasasdubai@gmail.com,AL ASAS BMT
alkarem@live.com,AL KARIM TRADING
sales@alnooroasis.com,AL NOOR OASIS TRADING
hamriya5@eim.ae,AL HAMRIYA 
saniflowbmt@gmail.com,SANIFLOW BMT
saifhard@gmail.com,HIFAZAT SAIFEE HUSAIN GEN TRADING 
alkoofa1@gmail.com,AL KOOFA 
sheraabmt@hotmail.com,AL SHERAA 
bsct@eim.ae,BRIDE SILVE COAST TRADING
awkazim@gmail.com,ABDUL WAHID KAZIM SONS
export@misar.ae,MISAR TRADING 
amcotradingdxb@gmail.com,AL MANSOOR TRADING
maent@eim.ae,MOHD AHMED ENT
alnoontrading@gmail.com,AL NOON INTL TRADING
fkabbas@gmail.com,FK TOOLS
sales.alfalk@gmail.com,AL FULK BMT
purchase.dxb@almiladhardware.com,AL MILAD BMT
mfazalabbas786@gmail.com,AL MANAMA HARDWARE TRADING
alhutaib@yahoo.com,AL HUTAIB ALU HARDWARE
markhi_2001@yahoo.com,AARAF TRADING
golddome@eim.ae,GOLDEN DOME BMT
mhahllc.dubai@gmail.com,MHAH TRADING 
smart_tools@hotmail.com,SMART TOOLS TRADING
sales@fairwaydubai.com,FAIRWAY BMT
malwahe@gmail.com,MALWA HARDWARE & ELECT
houston1_co@yahoo.com,HOUSTON BMT
al.azher@gmail.com,AL AZHAR HARDWARE
tayyeb@morawala.com,MORAWALA BMT
shamsalshambmt@gmail.com,SHAMS AL SHAM BMT
sales@burjalnoortrd.com,BURJ AL NOOR
thedunes@eim.ae,DESERT DUNES BMT
trading@singaporeuae.com,SINGAPORE BMT
khtc@eim.ae,KAIZER TRADING
sales@ultimatetrading.ae,ULTIMATE TRADING CO
sales@whitecrystalbmt.com,WHITE CRYSTAL BMT
rphtllc@gmail.com,RELIABLE POINT HARDWARE
gpbm56@gmail.com,GOLDEN PALACE BMT
aldhafrallc@gmail.com,AL DHAFRA BMT
ftbm52@hotmail.com,FAST TRACK BMT
info@redlinedxb.com,RED LINE BMT
h.abbass@hatimalanwar.com,HATIM AL ANWARE GEN TRD
wahatalnajumdxb@gmail.com,WAHAD AL NAJM
bluesaphirebmt@hotmail.com,BLUE SAPPHIRE BMT
afsh5253@hotmail.com,AL FURAT STAR HARDWARE
mamt52@eim.ae,MOHD AHMED MANSUR TRD
diyabmat@gmail.com,DIYA AL NAJAH BMT
screwmasterdxb@gmail.com,SCREW MASTER BMT
sfttradingllc@hotmail.com,SHABBIR FAKHRUDDING TRADING
sar78652@eim.ae,FAISAL TRADING 
orion5276@gmail.com,ORION TRADING
tambawala43@gmail.com,BAIT AL NUHAS
ahsales@smsbmt.com,SMS BMAT
centertrading786@gmail.com,BUILDING MATERIAL CENTER TRADING
siraj@najafhardware.com,NAJAF HARDWARE TRADING
jiveshtrdg@hotmail.com,JIVESH BMT
taishengfastner@gmail.com,TAISHENG FASTENERS
mishqat@eim.ae,AL MISHQAT BMT
alsadbmt@gmail.com,AL SAAB BMT
info@prosafegroup.ae,PROSAFE GROUPS
mbmt56452@hotmail.com,MASFOOT BMT
laveendhanwani@gmail.com,PITAMBER TRADING
info@almurid.ae,AL MURID TRADING
abdoalik@gmail.com,AL MURAQABAT BMT
murtaza@exceltech-llc.com,EXCEL TECH
