COMPANY_NAME,EMAIL,MOBILE NUMBER
Imadi Innovations,Hussainkhozema110@gmail.com,
Imadi Innovations,abbaszohair45@gmail.com,
Heba Llc,sakarodi@eim.ae,
Heba Llc,sakarodi@gmail.com,
Midland Hardware,sales@midlandllc.net,050 4827706
Fakruddin Kaderbhai Trading,sales2shj@fktools.ae,052 9026853
Dar Al Sakhi Shj,sakhitrdg@gmail.com,050 9819472
Noor Al Hayat ,nahtrading53@gmail.com,055 7980338
Prime Impex Trading,primeimpexgen@gmail.com,050 2069088
Powertrack,powertrackbmt@gmail.com,050 2749923
Unique Star Trading,uniqquestar@gmail.com,050 9938687
Talib Gen Trading,sales@talibgroup.biz,050 9153172
Sadiya Trading,tahir@saadiatrading.com,055 8817652
Al Mufrid Trading,almufrid13@gmail.com,052 6378653
Talib Abdullah Trading,talebabmt1008@gmail.com,055 2325037
Rightsource Al Qouz,sales@rightsourceme.com,055 9541282
Technostar Trading,technostarbmt@gmail.com,050 8260504
Srp Hardware Trading,srphardware128@gmail.com,055 2388594
Al Qamah Trading Al Qouz,purchase@alqama.ae,056 5023560
New Qamar Al Huda Al Qouz,newqamar@eim.ae,050 7352044
Bin Dhahi Al Qouz,qamran@bindhahi.ae,050 7341313
Huzaifa Shabbir Trading ,hozi_128@eim.ae,055 9973877
Al Sabah Safety,alsabasafety@gmail.com,055 2266084
Rahmat Al Mesq ,rehatalmesk1@gmail.com,052 9836532
Mustafa Ali Hardware,mustafa@mustafaalitrd.com,050 6784281
Smgulf ,enquiry@smgulf.com,052 1060170
Hakimi Traders,hakimitradersdxb@gmail.com,055 1167553
Mohammed Burhanuddin,ajmhus007@gmail.com,056 5840044
Blue Palace Bmt,mohdasim123@hotmail.com,055 2329867
Al Qaseef Trading,sales@alqaseeftrading.com,052 4747583
Ship & Boats ,darwish52@hotmail.com,050 7494839
Calibre Hardware ,sales@calibrehardware.com,055 8360484
Balqis Trading,balqis.b.m1@gmail.com,054 7172041
Reza & Murtaza Trading,info@rezamurtaza.com,04 2248338
Hawq Supplies,hawqtech.dubai@gmail.com,050 6451263
Lightstar Trading ,info@lightstar.ae,055 8082884
Pioners Elect,pioneerdubai@eim.ae,04 2349786
Modern Technology ,hussain@moderntechnology.ae,050 4956521
Ezzy Raj Tradiers,info@ezzyraj.com,055 6142572
Bahrainwala Trading,bbmtcl@aol.com,050 1632873
Safatco Trading,safatcotrading@gmail.com,050 9251786
Nbw Trading,narayan@nbwenterprises.com,056 1379571
Miqat Trading,miqaat933@hotmail.com,050 4241047
Mega Tools ,megatool@eim.ae,050 8925873
Al Dhabi Trading,enquiry@tradealdhabi.com,06 5335142
Al Rahat Trading,alrahat@eim.ae,050 4830172
Yamin Trading ,yamin@yamintrading.com,050 3508659
Nile Trading ,saify52@hotmail.com,050 6562752
Shabbir Trading ,shabitco@eim.ae,055 7938048
Mohd Al Kitwi,saifeenjm@gmail.com,055 1406980
Azmat Nazir Tools,aatigujjar@yahoo.com,055 6396129
Talha Trading,sorathiatalha@gmail.com,050 1400670
Burhani Trading ,bte52@eim.ae,055 8809852
Marvel Bmt,info@marvelbmt.com,050 8966275
Tulip Trading,sales5@tulipsafety.com,055 2775636
Baaqeri Bmt,baqeri5566@gmail.com,055 9417223
Al Abbasi Fasteners,hatimz@abbasihardware.ae,055 3246852
Red Gate Trading,rgtforce@gmail.com,050 6173730
Al Hamriya Bmt,sales@alhamriya.com,050 4409652
Faeber ,sales@faebertools.com,052 6589752
Al Sabah Safety ,alsabahsafety@gmail.com,055 2266084
Hadeed Hardware,info@hadeedubai.ae,055 5548152
Hh Tt,hhtt@eim.ae,052 1396242
Artline Trading ,artlinetradingllc@gmail.com,056 3826643
Bin Hammad Trading,bhte_752@yahoo.com,050 6925750
Tools Trading,toolsabd@eim.ae,04 2289049
Rcb Bmt,raj93@eim.ae,055 6336752
Saifee Raj,saifeeraj5253@gmail.com,
Yusuf Al Mehairi Bmt,yousufalmahairibmt@gmail.com,050 8721893
Saif Huraiz Bmt,saifhuraiz@yahoo.com,04 2273222
Vincent Trading,fansheng08@hotmail.com,052 6619888
Unika Trading Llc,fon1122@yahoo.com,050 9096118
Fairooza Trading Llc,fairooza@eim.ae,056 6026462
Super Sonic Trading,superson@supersonicme.com,055 7325459
Amazone Int,zaib@amzoneinternational.com,050 7420398
Shamco,procurement@shamcotrading.com,055 5457638
Manbaa Al Anwar Trading,manbaaalanwar@ymail.com,050 6765496
Manbaa Al Anwar Trading,manbaaalanwar@gmail.com,
Saiftech Hardware,salim@safetechhardware.ae,055 6677473
Technomech,zhm@technomechdxb.com,052 8474670
Roma Ent,amrit@romaent.com,055 7445468
Yamin Trading,yamin@yamintrading.com,050 1420652
Anwar Al Madina,aamadina@eim.ae,050 6789612
Golden Island Bmt,gibmtrdg@gmail.com,050 7783156
Abdul Kader Hakimuudin Trading,iktrading52@gmail.com,058 5923052
Nami Gen Trading Llc,namigt@eim.ae,056 6930342
Jingtai Trading,maftool@hotmail.com,056 8866100
Abid & Ali Asger ,aaasafedubai@gmail.com,050 4262825
Al Rabwa Trading,alrabwatrading@gmail.com,052 3528080
City Beach Bmt,citybeach_bm@hotmail.com,050 5857492
Marhaba Trading,mht52@eim.ae,050 2783852
Nile Bmt,niletrdg@eim.ae,056 1009152
Yamamoto Gen Trd,abbas@yamamotogcc.com,055 7012343
Mared Bmt,181610541@qq.com,050 8488621
Al Noor Al Munir,nmbhtllc@gmail.com,058 9554372
Aldora Bmt,dorabmt@yahoo.com,050 4689039
Eminex Electrical ,eminextrading@gmail.com,052 9826734
Omar Al Mas Bmt,shahjalal.parvez@yahoo.com,055 3383185
Naqiya Bmt,nbmllcdubai@gmail.com,054 4679917
Al Noor Trading Est,abdealivilayti88@gmail.com,056 7807602
Perfect Elec Trading,perfect.elt@gmail.com,050 8040645
Al Marjan Star Gen Trading,info@murjangroup.com,050 5126015
Femco Trading,murtuzamm@hotmail.com,050 7851865
Noor Al Mufaddal Trading,ysfvalisaheb@gmail.com,050 8639208
Satharka Bmt,satarka1.bifpro@gmail.com,055 8010227
Al Azhar Elect ,ali@alazharelectrical.com,058 6255887
Vkb Intrl Bmt,vkbintl@gmail.com,056 9975149
Qusai Trading Est,qusaitr@eim.ae,050 8045952
Perka Bmt,infoperkatrading@gmail.com,052 7752380
Dream Island Bmt,dibmt786@yahoo.com,050 9898272
Classic Bmt,aliahmed@clmet.com,056 2144639
Najam Al Assasi Trading,najmalasasi@gmail.com,050 2354863
Megazone Hardware,megazonedubai@gmail.com,055 5561800
Al Madina Bmt,sales@almadina.me,050 6405786
Mohammed Al Kitbi,saifeenjm@gmail.com,055 1406980
Cheval Kitbi,chevalkitbi@gmail.com,056 7921985
Sonasa Trading,sonasatrd@gmail.com,050 7583670
Iconic Tools Trading,iconictools@gmail.com,052 9933572
Lakdawala Trading,ltcllc@eim.ae,055 1048140
Al Tawakkal Trading,altawakkaltrd@gmail.com,055 7862295
Shibam Bmt,shibambmtllc@gmail.com,055 8388084
An Trading Co Llc,adnani06@eim.ae,050 7706014
Henwood Gen Trading,saifuddin@henwoodgroup.com,055 8593786
Byt Hatim Ali Trading,bythatim@gmail.com,054 4404812
Royal Tools Trading ,qutubgoher@gmail.com,050 6510958
Rasani Trading ,rasani@shop4tools.net,050 6514912
Al Wasl Oasis ,starwasl@eim.ae,055 8802373
Star Allowys Gen Trading,nimit@staralloys.ae,054 3177370
 Fakhri Bmt,faqhri@eim.ae,050 7149053
Najmi Trading,najmisales@gmail.com,058 2201230
Pusan Trading,sales@pusantrading.com,050 6576265
Sams Solutions,s.burhani@sams.solutions.com,056 5807561
Smb Intl Deira,sales@smbintllc.com,055 6542845
White Apple Bmt,info@whiteappleuae.com,055 4859480
Saleh Ishaq Trading,sitcotrd@gmail.com,050 3074331
H Husaini Hardware,hhusaini@eim.ae,055 5451192
Sunelwala Bmt,husain@swbm-fittings.com,050 7481772
Najmat Al Zahra,mustafa.kher@gmail.com,050 2523965
Al Asas Bmt,alasasdubai@gmail.com,055 6998668
High Bmt ,hIgh@eim.ae,050 8793795
Al Karim Trading,alkarem@live.com,050 9125608
Al Noor Oasis Trading,sales@alnooroasis.com,054 7841606
Al Hamriya ,hamriya5@eim.ae,050 5254459
Saniflow Bmt,saniflowbmt@gmail.com,050 1580620
Hifazat Saifee Husain Gen Trading ,saifhard@gmail.com,055 8479252
Al Koofa ,alkoofa1@gmail.com,050 4405786
Al Sheraa ,sheraabmt@hotmail.com,055 6928372
Bride Silve Coast Trading,bsct@eim.ae,050 7581639
Abdul Wahid Kazim Sons,awkazim@gmail.com,04 2226419
Misar Trading ,export@misar.ae,052 9940910
Al Mansoor Trading,amcotradingdxb@gmail.com,050 4768115
Mohd Ahmed Ent,maent@eim.ae,050 6450437
Al Noon Intl Trading,alnoontrading@gmail.com,056 4120421
Fk Tools,fkabbas@gmail.com,050 6522094
Al Fulk Bmt,sales.alfalk@gmail.com,055 6781783
Al Milad Bmt,purchase.dxb@almiladhardware.com,055 7983084
Al Manama Hardware Trading,mfazalabbas786@gmail.com,055 5664684
Al Hutaib Alu Hardware,alhutaib@yahoo.com,050 7865230
Al Khalis Trading,khalis@eim.ae,050 4568740
Aaraf Trading,markhi_2001@yahoo.com,050 7989049
Golden Dome Bmt,golddome@eim.ae,050 6586431
Mhah Trading ,mhahllc.dubai@gmail.com,052 1849352
Smart Tools Trading,smart_tools@hotmail.com,050 8404132
Fairway Bmt,sales@fairwaydubai.com,050 5954782
Malwa Hardware & Elect,malwahe@gmail.com,050 5184970
Houston Bmt,houston1_co@yahoo.com,055 1340919
Al Azhar Hardware,al.azher@gmail.com,054 5507205
Morawala Bmt,tayyeb@morawala.com,056 3422741
Shams Al Sham Bmt,shamsalshambmt@gmail.com,052 5499040
Burj Al Noor,sales@burjalnoortrd.com,055 1070362
Desert Dunes Bmt,thedunes@eim.ae,050 3504324
Singapore Bmt,trading@singaporeuae.com,055 4528255
Kaizer Trading,khtc@eim.ae,055 5282672
Ultimate Trading Co,sales@ultimatetrading.ae,055 8160303
White Crystal Bmt,sales@whitecrystalbmt.com,050 7144935
Reliable Point Hardware,rphtllc@gmail.com,055 4754401
Golden Palace Bmt,gpbm56@gmail.com,050 9569789
Al Dhafra Bmt,aldhafrallc@gmail.com,056 3885403
Fast Track Bmt,ftbm52@hotmail.com,055 8836752
Red Line Bmt,info@redlinedxb.com,04 2277484
Hatim Al Anware Gen Trd,h.abbass@hatimalanwar.com,055 3653529
Wahad Al Najm,wahatalnajumdxb@gmail.com,050 6487277
Blue Sapphire Bmt,bluesaphirebmt@hotmail.com,052 7851352
Al Furat Star Hardware,afsh5253@hotmail.com,055 4406359
Mohd Ahmed Mansur Trd,mamt52@eim.ae,055 7791095
Diya Al Najah Bmt,diyabmat@gmail.com,052 7948475
Screw Master Bmt,screwmasterdxb@gmail.com,052 6449305
Shabbir Fakhrudding Trading,sfttradingllc@hotmail.com,055 1678692
Srp Building Hardware,srphardware128@gmail.com,055 2388594
Faisal Trading ,sar78652@eim.ae,050 4696492
Orion Trading,orion5276@gmail.com,050 9113902
Bait Al Nuhas,tambawala43@gmail.com,052 3804218
Sms Bmat,ahsales@smsbmt.com,050 9211892
Building Material Center Trading,centertrading786@gmail.com,055 4103236
Najaf Hardware Trading,siraj@najafhardware.com,056 3995726
Jivesh Bmt,jiveshtrdg@hotmail.com,055 5621702
Taisheng Fasteners,taishengfastner@gmail.com,050 1388680
Al Mishqat Bmt,mishqat@eim.ae,058 2778349
Al Saab Bmt,alsadbmt@gmail.com,056 9889149
Prosafe Groups,info@prosafegroup.ae,054 7409041
Masfoot Bmt,mbmt56452@hotmail.com,056 1935307
Pitamber Trading,laveendhanwani@gmail.com,050 3424955
Al Murid Trading,info@almurid.ae,056 6418385
Al Muraqabat Bmt,abdoalik@gmail.com,055 7858685
Excel Tech,murtaza@exceltech-llc.com,050 8521560
Magma Fasteners,magmafasteners@yahoo.com,055 37336281
Al Fakhar Hardware Trading,alfakharhardware@gmail.com,050 5255945
Mustafa Bmt,muffi@mustafadubai.com,055 5955975
Alifiya Gen Trading,juzersj@gmail.com,050 8610986
Fakhree Hardware Trading,fht5253@gmail.com,055 9071052
Salsabil Hardware,salsabeelhardware@gmail.com,058 1083595
Noor Al Burhan Trading,nbt53@outlook.com,050 4744372
Sonica Trading,sonica9098_tp@hotmail.com,054 7713576
Focus Star Bmt,focusstarbmt@gmail.com,055 2205395
Fareed Abu Al Maleh,nafys@hotmail.com,050 6590752
Al Wasif Bmt,alwaseef@eim.ae,04 2289094
Hi Star Bmt,mustafa@histarbmt.com,055 4780828
Al Qutbi Elect Co,murtazaqutbi53@gmail.com,050 8033421
Al Quba Bmt,modi601@eim.ae,050 8717799
Buildway Ben Trading,buildwaygt@gmail.com,055 7398395
Kothari Hardware Bmt,kotharihardware@eim.ae,055 1997115
A1 Tools Trading,atools@eim.ae,056 2040551
Piplod Wala Hardware,piplodwala@hotmail.com,050 7186670
